gene_id,CONT1,CONT2,CONT3,CONT4,CONT5,CONT6,TREA1,TREA2,TREA3,TREA4,TREA5,TREA6
GENE00092,19,28,13,13,8,33,24,13,7,17,8,20
GENE00093,17,30,19,54,37,27,31,22,17,24,52,30
GENE00094,26,50,69,35,43,21,22,43,33,36,17,61
GENE00095,1849,1010,1628,789,1618,1332,1672,1136,1569,614,972,1917
GENE00096,361,421,594,882,865,607,813,446,566,1394,666,558
GENE00097,72,100,87,99,55,68,50,57,59,111,63,74
GENE00098,147,231,216,250,149,124,205,267,129,194,167,200
GENE00099,214,170,628,639,507,352,210,237,167,80,238,312
GENE00100,25,34,67,44,97,90,51,72,116,70,94,22
GENE00101,256,334,176,211,196,227,130,301,261,402,260,476
GENE00102,663,2045,1450,1824,2445,883,1711,1868,1603,1744,748,533
GENE00103,134,121,50,52,86,67,98,58,79,147,86,46
GENE00104,1795,1274,2751,1234,1294,1305,1881,1120,1491,1977,3281,1609
GENE00105,1070,2140,1234,1922,1244,1361,1352,1185,1749,1510,846,1307
GENE00106,26,41,37,32,16,20,20,23,30,21,34,11
GENE00107,1081,1708,4710,1380,1506,2182,1535,1766,2574,1749,3926,1395
GENE00108,17,8,16,19,24,3,14,14,15,17,16,6
GENE00109,35,83,48,54,50,67,97,85,20,33,65,70
GENE00110,322,174,91,184,252,198,260,286,115,172,165,139
GENE00111,91,61,33,85,62,82,69,125,179,33,122,16
GENE00112,579,491,757,297,295,392,463,374,684,863,416,378
GENE00113,24,56,42,102,68,97,53,22,60,42,57,82
GENE00114,12,1,7,7,7,11,3,5,1,2,9,5
GENE00115,109,78,64,83,60,95,123,105,111,134,87,110
GENE00116,547,325,522,536,249,192,454,178,253,483,504,290
GENE00117,6,20,2,0,8,12,7,3,11,5,5,3
GENE00118,149,106,161,116,105,151,126,185,195,316,174,53
GENE00119,34,158,91,56,79,92,178,72,61,131,63,121
GENE00120,166,86,21,119,54,94,65,81,145,64,88,80
GENE00121,25,11,16,20,14,14,29,18,12,20,30,9
GENE00122,470,353,531,873,760,1666,748,270,562,1235,517,642
GENE00123,5,6,6,14,4,1,1,6,2,4,6,7
GENE00124,22,14,35,6,20,8,36,15,63,39,15,20
GENE00125,145,52,165,227,147,244,69,127,179,116,219,83
GENE00126,8,7,11,12,4,10,6,5,6,10,8,15
GENE00127,1000,518,657,754,833,1148,528,988,517,881,1220,1049
GENE00128,20,9,19,10,9,27,13,10,13,10,15,15
GENE00129,7,11,9,3,5,7,9,3,5,12,9,7
GENE00130,602,907,766,494,438,493,489,89,456,408,488,623
GENE00131,668,461,701,221,266,879,655,747,728,746,481,500
GENE00132,48,39,47,80,30,62,36,18,39,42,34,14
GENE00133,72,30,66,29,47,85,67,52,35,66,60,61
GENE00134,10,22,19,3,12,37,10,27,14,10,16,10
GENE00135,10,5,6,13,10,8,5,9,3,7,10,5
GENE00136,311,218,569,553,388,661,463,830,763,230,441,671
GENE00137,242,361,157,280,199,299,318,241,184,276,303,112
GENE00138,9,8,9,14,7,5,28,10,6,16,16,12
GENE00139,1353,1653,1425,1346,1260,1097,1021,1211,1786,1003,1669,507
GENE00140,46,56,97,136,171,102,129,112,61,200,76,103
GENE00141,378,120,156,142,239,298,167,218,140,234,146,272
GENE00142,704,520,596,653,817,902,575,1119,406,805,1437,879
GENE00143,1685,2557,2607,1279,967,1645,496,781,1718,902,1508,863
GENE00144,107,386,373,151,281,130,252,283,239,206,216,192
GENE00145,450,340,303,143,168,174,148,204,238,200,82,249
GENE00146,6,1,1,4,10,9,8,6,9,9,6,3
GENE00147,869,1097,381,1242,293,499,731,366,1012,634,1283,426
GENE00148,16,8,17,21,12,33,23,11,11,10,9,21
GENE00149,13,7,6,21,7,10,13,17,17,9,3,24
GENE00150,2,8,9,10,4,6,5,9,13,5,7,10
GENE00151,39,41,28,21,30,20,33,17,31,22,34,17
GENE00152,149,206,142,437,188,277,355,256,371,266,120,285
GENE00153,14,19,23,30,29,23,34,6,7,16,19,20
GENE00154,129,159,147,198,123,101,196,153,139,90,125,312
GENE00155,8,5,3,11,4,5,7,4,1,11,12,9
GENE00156,208,96,94,141,92,206,67,165,172,228,152,115
GENE00157,5,4,5,2,5,2,2,6,9,3,3,6
GENE00158,15,11,7,11,9,6,4,5,12,7,8,5
GENE00159,32,81,72,140,58,93,90,78,95,60,79,96
GENE00160,275,651,200,188,239,78,303,213,329,435,240,213
GENE00161,1122,2307,2496,2136,1467,965,1038,2785,649,1162,1680,2241
GENE00162,199,110,131,190,141,81,118,107,155,125,196,262
GENE00163,20,9,86,27,24,34,44,23,18,25,36,19
GENE00164,1443,1058,1367,1528,2029,1592,1958,1045,767,676,1145,1342
GENE00165,75,111,69,84,65,102,85,94,103,68,98,62
GENE00166,877,740,1087,807,1652,1203,716,1454,1274,852,536,1316
GENE00167,113,207,136,118,67,111,118,92,111,87,173,128
GENE00168,1103,574,1003,578,859,1304,843,968,493,1142,2140,685
GENE00169,31,35,17,37,24,20,15,29,24,29,16,21
GENE00170,619,275,399,156,419,344,323,295,231,272,197,414
GENE00171,42,60,60,71,51,187,95,112,104,138,158,86
GENE00172,920,1920,789,1586,1995,1657,1964,2307,3411,1267,1346,1301
GENE00173,359,542,486,779,389,320,295,411,403,651,785,215
GENE00174,4,2,10,5,2,3,10,6,2,6,8,6
GENE00175,22,11,15,24,32,16,14,13,18,29,29,28
GENE00176,104,193,336,249,129,158,220,171,299,243,146,260
GENE00177,6,6,8,3,8,7,7,6,5,6,10,9
GENE00178,80,109,182,142,232,238,170,202,69,161,169,142
GENE00179,43,70,49,61,30,20,61,50,24,26,62,41
GENE00180,212,427,249,385,238,425,196,358,533,249,269,362
GENE00181,1,8,17,14,8,13,3,7,14,20,19,12
GENE00182,1373,1074,814,645,1665,1658,1605,1485,1889,896,1907,784
GENE00183,118,140,59,73,182,157,203,120,121,193,153,94
GENE00184,12,21,21,26,12,12,14,10,13,17,14,9
GENE00185,35,12,8,20,24,11,22,8,4,10,15,12
GENE00186,31,37,17,37,34,77,77,31,22,48,40,49
GENE00187,103,121,168,197,88,248,264,273,90,175,125,107
GENE00188,1308,1436,545,561,921,1699,821,1234,880,1322,1220,664
GENE00189,124,285,104,147,124,194,148,269,212,109,367,397
GENE00190,25,22,11,30,39,9,23,15,27,18,21,17
GENE00191,428,389,136,439,277,167,549,225,185,386,208,506
GENE00192,1054,1017,520,412,994,399,709,714,475,344,466,552
GENE00193,491,669,1291,940,387,320,552,409,607,716,873,649
GENE00194,15,7,10,30,20,19,12,20,21,9,22,25
GENE00195,9,19,18,30,31,13,21,14,28,24,19,46
GENE00196,1250,682,738,688,696,521,540,534,743,730,776,1035
GENE00197,48,75,73,49,81,51,101,71,54,79,31,61
GENE00198,1163,846,464,426,1862,1088,1510,638,458,967,963,1017
GENE00199,26,51,49,14,9,39,36,30,29,45,27,24
GENE00200,1546,1705,1983,1970,1083,1251,1900,1426,823,1625,1510,1570
GENE00201,278,501,491,423,254,441,347,198,435,266,219,308
GENE00202,8,1,10,15,8,8,9,9,8,5,5,8
GENE00203,12,10,17,20,14,10,9,28,9,12,12,9
GENE00204,184,202,333,475,438,267,171,192,278,399,306,231
GENE00205,30,31,39,42,51,23,44,33,30,74,41,34
GENE00206,1450,2167,2162,1971,1203,1645,869,2637,1537,825,1941,2298
GENE00207,1198,1217,1353,1490,1183,961,686,1862,2134,1191,1300,1842
GENE00208,255,156,109,225,205,172,286,141,67,71,206,93
GENE00209,79,69,114,98,67,113,71,111,104,64,43,99
GENE00210,74,17,112,177,81,57,61,55,36,49,109,63
GENE00211,10,13,11,23,8,6,34,10,22,17,8,13
GENE00212,8,6,11,5,8,3,8,5,5,7,14,2
GENE00213,273,203,105,284,169,394,117,152,284,369,242,156
GENE00214,27,9,14,13,11,24,25,10,10,9,19,14
GENE00215,9,4,7,3,4,11,5,8,1,5,10,11
GENE00216,230,477,197,255,391,292,767,426,286,418,285,397
GENE00217,74,68,27,57,34,63,26,75,30,19,107,21
GENE00218,844,904,756,2009,1811,1675,923,1244,990,1598,1257,1938
GENE00219,66,124,124,131,198,112,37,171,108,185,90,53
GENE00220,311,307,338,241,405,540,242,333,286,220,209,328
GENE00221,6,15,9,11,7,11,10,10,11,15,5,8
GENE00222,626,318,430,517,400,967,992,281,838,438,865,673
GENE00223,226,294,216,249,283,188,124,230,217,571,143,241
GENE00224,17,46,28,89,59,55,95,40,67,32,43,18
GENE00225,201,145,134,223,210,69,200,126,278,154,141,114
GENE00226,42,45,104,60,43,31,81,75,35,53,119,49
GENE00227,1225,1125,1668,683,935,1237,579,765,568,1049,757,323
GENE00228,17,5,4,10,10,9,6,4,6,4,2,3
GENE00229,968,710,1291,892,1702,666,1312,456,782,1167,471,675
GENE00230,76,59,61,55,70,66,59,53,54,60,55,26
GENE00231,557,731,666,860,242,540,553,696,174,740,887,1500
GENE00232,241,214,169,329,136,240,130,138,89,77,208,219
GENE00233,471,918,740,822,680,511,516,830,816,369,856,925
GENE00234,263,284,417,607,270,199,329,218,69,335,439,341
GENE00235,664,475,821,669,644,893,847,442,609,910,680,997
GENE00236,8,12,9,3,9,8,7,11,6,2,9,8
GENE00237,7,3,5,9,15,6,3,8,3,9,3,2
GENE00238,60,75,67,72,110,115,44,127,71,228,98,134
GENE00239,9,9,14,13,6,18,9,13,1,11,5,11
GENE00240,179,285,276,407,149,147,353,163,186,293,302,263
GENE00241,939,609,312,999,577,747,738,710,692,1133,508,1012
GENE00242,33,17,30,29,53,28,49,39,50,45,36,54
GENE00243,208,527,201,183,222,425,144,125,302,285,205,127
GENE00244,1009,502,775,625,345,987,852,1004,713,318,1083,333
GENE00245,16,28,34,23,73,36,30,39,25,32,68,43
GENE00246,107,36,50,104,59,99,66,47,61,28,82,76
GENE00247,15,29,9,15,16,11,11,20,23,17,22,21
GENE00248,13,2,11,3,4,3,13,9,4,7,4,11
GENE00249,40,132,61,56,51,66,37,59,50,106,39,52
GENE00250,14,18,22,51,7,17,26,10,9,22,13,30
GENE00251,289,204,207,95,171,148,311,253,101,203,194,219
GENE00252,13,32,17,11,45,16,20,32,14,31,18,29
GENE00253,106,126,117,284,133,282,86,246,61,214,363,200
GENE00254,271,638,267,404,618,346,295,309,419,349,528,198
GENE00255,11,20,25,22,6,20,15,14,16,20,9,23
GENE00256,199,189,114,123,110,241,159,278,215,193,296,175
GENE00257,22,102,120,56,45,74,56,60,39,93,91,28
GENE00258,26,10,10,15,7,18,15,19,8,7,5,12
GENE00259,1007,1687,1891,601,1873,1403,947,1052,908,995,1205,565
GENE00260,19,37,18,22,14,18,17,15,9,14,8,6
GENE00261,45,55,90,72,33,45,75,102,80,85,74,46
GENE00262,224,327,202,136,218,101,309,344,264,136,320,230
GENE00263,132,51,143,88,62,74,97,84,116,90,60,113
GENE00264,30,63,45,46,35,79,47,116,72,61,77,74
GENE00265,640,1447,1159,1444,1804,594,737,1057,804,752,586,1175
GENE00266,7,4,2,6,2,8,2,8,8,6,8,6
GENE00267,491,1209,518,774,952,1076,519,1572,687,1758,832,613
GENE00268,4,14,10,8,4,12,14,12,4,10,13,5
GENE00269,7,5,8,15,13,17,12,4,14,9,13,16
GENE00270,758,385,533,165,359,454,582,296,475,751,486,474
GENE00271,941,3287,1721,1487,2697,2096,635,3014,1587,1158,1822,2253
GENE00272,504,356,429,493,350,1119,1062,603,507,458,542,647
GENE00273,633,561,610,339,1177,716,863,474,701,1072,545,575
GENE00274,110,44,39,107,81,41,47,41,57,84,61,125
GENE00275,56,88,12,64,61,62,39,44,35,27,50,78
GENE00276,354,648,133,325,295,487,103,480,453,290,473,147
GENE00277,1226,793,1139,925,716,830,1159,670,964,1020,411,1108
GENE00278,10,7,14,4,15,2,13,6,20,8,17,16
GENE00279,1007,1093,230,386,332,813,454,642,259,671,742,682
GENE00280,58,59,47,70,30,111,111,86,63,76,37,70
GENE00281,107,143,101,89,173,30,65,108,161,54,45,78
GENE00282,202,228,291,369,213,224,153,343,169,266,184,188
GENE00283,29,38,8,21,18,22,27,36,24,17,23,26
GENE00284,4,3,6,6,10,3,3,11,9,5,3,4
GENE00285,11,33,19,15,15,20,35,17,28,34,25,21
GENE00286,65,93,76,29,34,23,11,68,95,34,52,18
GENE00287,4,5,7,2,1,3,9,6,6,5,1,8
GENE00288,346,115,55,380,434,331,272,318,406,255,224,260
GENE00289,20,8,14,10,21,19,7,12,26,21,10,35
GENE00290,54,12,33,24,31,28,21,29,20,28,23,19
GENE00291,15,9,24,52,12,28,25,10,22,18,38,36
GENE00292,985,1233,1226,1260,1153,2391,1906,2035,1293,647,1278,628
GENE00293,854,566,1449,819,1107,500,873,1343,325,1465,425,946
GENE00294,155,193,91,367,325,191,120,118,229,122,181,243
GENE00295,128,114,124,80,87,206,56,154,79,135,212,86
GENE00296,6,7,12,5,6,11,11,4,4,26,12,4
GENE00297,160,143,143,55,316,141,164,217,96,86,95,106
GENE00298,35,12,18,22,17,22,26,17,26,23,17,39
GENE00299,370,2070,820,1415,1256,817,490,939,870,1430,793,886
GENE00300,291,271,277,196,174,183,265,648,262,266,263,245
GENE00301,627,235,783,974,640,1288,762,600,902,236,713,500
GENE00302,1308,1491,912,2039,1381,361,1179,2843,1356,3545,1623,1373
GENE00303,1875,1714,2696,1719,2468,1203,1891,1301,1658,1788,2204,1598
GENE00304,3,13,17,10,12,6,12,12,18,11,5,10
GENE00305,237,323,226,219,330,294,392,258,171,448,251,139
GENE00306,77,47,23,49,57,45,82,34,69,48,36,102
GENE00307,615,666,549,655,373,293,341,522,660,840,651,506
GENE00308,76,92,90,106,74,92,79,90,48,84,92,96
GENE00309,352,121,202,555,372,211,284,374,207,307,568,269
GENE00310,1025,251,1449,358,940,767,1540,1183,1669,1541,1108,1802
GENE00311,18,29,6,25,28,22,19,13,20,8,9,30
GENE00312,127,257,322,256,641,196,99,262,421,298,337,109
GENE00313,234,328,337,166,261,256,126,266,108,166,389,309
GENE00314,13,24,6,14,18,12,31,11,15,6,13,13
GENE00315,165,78,53,160,201,57,98,59,201,77,89,189
GENE00316,13,15,45,28,32,61,24,38,16,47,50,28
GENE00317,150,144,114,224,169,304,343,89,189,259,147,189
GENE00318,49,106,25,69,58,37,35,62,21,132,13,27
GENE00319,1104,809,303,753,654,846,872,958,1571,744,773,1767
GENE00320,2055,1538,3367,2366,1111,3044,2008,1966,2079,1196,1674,2026
GENE00321,7,8,12,13,7,7,17,11,8,8,7,14
GENE00322,21,20,34,37,59,71,22,26,19,27,25,54
GENE00323,978,871,906,808,787,608,500,1406,656,1247,944,624
GENE00324,1052,986,822,819,1333,1333,1305,1158,1139,1124,839,1665
GENE00325,21,24,47,36,19,27,38,18,25,26,18,48
GENE00326,579,307,303,105,285,247,170,160,156,137,128,330
GENE00327,196,213,125,185,128,179,201,303,231,201,288,110
GENE00328,855,1365,813,865,708,841,730,787,709,1390,1283,1068
GENE00329,28,40,100,40,39,53,28,47,26,29,49,54
GENE00330,6,2,16,14,8,17,7,11,8,10,16,15
GENE00331,74,82,41,144,129,87,78,69,60,73,132,65
GENE00332,310,233,261,224,232,229,404,231,245,329,335,366
GENE00333,20,5,8,11,7,4,6,11,18,5,9,7
GENE00334,104,116,207,169,125,302,163,153,270,196,218,209
GENE00335,265,257,506,888,564,411,725,798,369,774,646,1182
GENE00336,7,15,22,13,19,26,5,14,29,16,3,7
GENE00337,472,504,406,736,410,335,394,555,327,342,593,668
GENE00338,813,967,954,790,600,684,365,516,427,676,823,479
GENE00339,51,87,50,158,112,65,64,59,56,61,56,12
GENE00340,91,90,206,89,146,120,71,82,113,164,144,225
GENE00341,197,89,299,324,219,241,156,235,134,94,192,107
GENE00342,112,88,86,167,150,134,119,130,74,80,168,181
GENE00343,28,74,57,100,41,34,75,83,59,67,71,61
GENE00344,45,43,39,73,100,57,40,41,32,24,23,61
GENE00345,11,6,5,9,12,9,8,13,9,3,12,5
GENE00346,8,7,2,4,5,3,8,6,3,0,4,1
GENE00347,150,83,116,105,67,83,45,93,180,99,44,93
GENE00348,53,23,24,29,32,11,15,30,43,50,41,49
GENE00349,10,9,14,19,20,8,20,16,23,14,16,27
GENE00350,88,101,84,80,125,87,53,22,90,60,167,148
GENE00351,107,25,90,101,46,62,45,98,80,115,77,115
GENE00352,351,306,587,169,189,188,202,364,278,255,399,104
GENE00353,13,34,57,30,50,36,25,50,23,44,19,19
GENE00354,154,105,86,121,45,112,97,179,132,89,186,85
GENE00355,419,404,353,188,433,591,530,283,539,677,309,244
GENE00356,741,656,389,1544,508,1243,917,1389,854,946,830,896
GENE00357,155,190,382,115,200,180,136,106,124,391,253,235
GENE00358,5,2,5,8,12,4,8,2,5,5,11,6
GENE00359,9,6,15,8,1,7,5,6,9,10,5,10
GENE00360,285,287,119,121,213,227,222,374,311,76,435,266
GENE00361,12,9,7,16,18,5,15,6,7,5,3,9
GENE00362,11,13,7,10,13,8,27,19,6,9,14,5
GENE00363,3,15,9,9,12,17,7,7,12,12,6,10
GENE00364,27,54,54,22,41,27,10,29,47,45,32,33
GENE00365,177,287,501,178,199,474,351,322,299,87,241,180
GENE00366,1270,2823,1288,1861,1299,1340,2079,1863,905,1084,1097,1843
GENE00367,434,829,603,494,941,609,883,958,595,619,640,533
GENE00368,407,282,415,529,399,451,321,326,505,516,224,301
GENE00369,7,6,8,10,11,9,4,10,5,7,9,1
GENE00370,125,137,41,123,114,259,185,228,78,253,101,178
GENE00371,726,387,716,556,656,662,541,571,311,734,1185,1249
GENE00372,1249,1309,1601,960,561,976,1891,739,1017,656,1282,587
GENE00373,3,23,3,14,16,3,10,11,4,5,6,10
GENE00374,31,31,26,34,52,31,25,23,24,36,11,28
GENE00375,40,17,12,32,15,24,15,25,17,32,28,33
GENE00376,14,11,20,34,27,33,8,27,37,16,13,10
GENE00377,27,8,38,58,42,87,54,80,21,73,54,43
GENE00378,12,49,29,56,37,35,22,54,26,50,70,16
GENE00379,30,41,34,43,41,60,29,18,52,53,87,36
GENE00380,68,35,51,34,26,58,32,21,25,51,64,33
GENE00381,248,528,394,172,431,251,345,287,368,342,608,479
GENE00382,4,11,6,4,4,8,5,2,6,7,6,7
GENE00383,163,147,569,293,404,287,375,305,410,371,324,485
GENE00384,532,454,465,750,177,563,789,586,470,431,312,566
GENE00385,4,18,15,23,23,25,19,25,19,33,21,20
GENE00386,634,679,499,274,1163,697,738,779,461,535,468,559
GENE00387,401,373,175,420,410,190,119,447,403,601,690,522
GENE00388,172,76,219,152,111,83,161,69,140,103,102,142
GENE00389,2272,998,1985,1697,1175,1482,2656,3010,1922,1459,644,1996
GENE00390,382,393,230,273,324,385,515,431,445,267,308,557
GENE00391,8,9,8,7,6,9,5,8,10,6,3,4
GENE00392,5,3,9,7,7,0,0,4,7,2,7,6
GENE00393,164,64,119,111,50,102,103,78,72,80,88,68
GENE00394,119,55,83,86,100,42,163,116,62,81,93,125
GENE00395,46,58,64,118,101,37,57,36,46,69,54,60
GENE00396,18,14,78,62,60,32,25,33,55,40,50,108
GENE00397,70,63,53,41,46,76,56,48,63,57,47,59
GENE00398,15,14,4,4,6,4,8,5,3,10,2,3
GENE00399,443,562,1083,301,758,132,734,338,425,542,649,457
GENE00400,423,203,302,245,746,353,375,212,402,296,215,212
GENE00401,542,338,308,439,571,700,222,587,434,401,349,365
GENE00402,47,32,25,59,52,86,69,32,49,89,52,125
GENE00403,8,38,67,39,65,79,52,32,57,35,50,10
GENE00404,850,1497,771,1064,820,680,671,454,451,1274,1005,592
GENE00405,120,302,206,216,240,130,199,169,298,242,124,314
GENE00406,831,558,761,869,923,564,314,243,636,464,803,1092
GENE00407,639,1546,678,1035,492,1267,2581,984,1224,1374,2711,545
GENE00408,214,160,221,176,162,518,395,373,167,149,286,230
GENE00409,652,932,2231,1917,1568,2304,1377,2154,2024,2763,918,675
GENE00410,1883,297,1640,1071,716,1059,1423,869,930,1575,1133,1222
GENE00411,964,1502,2767,1641,1675,1291,1237,2655,838,1630,2106,2168
GENE00412,583,1652,3106,2402,2248,394,1672,2446,1849,556,1693,1969
GENE00413,19,14,45,24,48,39,28,31,21,64,42,11
GENE00414,102,113,85,68,171,119,158,318,183,112,133,171
GENE00415,322,198,171,271,417,199,173,447,180,200,299,196
GENE00416,585,1095,619,825,1017,550,547,1726,322,238,476,695
GENE00417,537,1153,1309,647,556,555,908,919,1195,1340,255,645
GENE00418,103,41,57,89,138,71,10,91,87,82,84,59
GENE00419,28,29,26,21,71,37,85,48,22,70,42,46
GENE00420,44,65,65,71,90,93,73,29,78,37,121,62
GENE00421,18,27,30,27,19,37,37,38,32,26,26,36
GENE00422,3,6,7,14,9,6,8,9,12,6,8,14
GENE00423,39,37,38,17,40,30,68,35,53,33,50,67
GENE00424,14,9,5,9,3,7,12,11,8,12,4,9
GENE00425,3722,1712,2810,1731,2918,2452,2599,3170,1326,1749,1471,1939
GENE00426,93,18,48,26,85,63,39,45,36,70,98,60
GENE00427,13,33,66,41,46,51,42,38,41,9,47,39
GENE00428,1137,1636,2252,877,1492,1079,2262,1219,1571,1655,1801,2149
GENE00429,204,269,387,323,697,192,306,257,237,332,376,230
GENE00430,193,177,144,209,179,102,155,215,131,62,80,225
GENE00431,440,766,418,1179,409,253,526,304,790,873,745,740
GENE00432,40,11,59,19,40,46,54,20,65,37,57,35
GENE00433,1270,449,1516,906,784,609,1351,863,1189,863,668,668
GENE00434,253,156,170,435,187,261,489,370,324,195,153,225
GENE00435,13,12,6,7,6,15,26,9,21,17,6,22
GENE00436,37,46,80,58,125,59,42,47,50,33,50,54
GENE00437,312,421,474,253,336,255,218,375,338,116,389,285
GENE00438,15,22,14,12,15,23,14,11,20,27,9,42
GENE00439,126,169,416,334,297,266,391,210,146,177,410,470
GENE00440,1110,1540,2106,1289,1642,1146,1313,676,1197,1122,721,676
GENE00441,361,632,589,296,760,380,348,349,676,431,670,781
