gene_id,CONT1,CONT2,CONT3,CONT4,CONT5,CONT6,TREA1,TREA2,TREA3,TREA4,TREA5,TREA6
GENE00077,359,200,197,497,213,231,300,352,346,332,146,389
GENE00078,1,4,9,13,7,8,6,1,3,1,4,5
GENE00079,17,12,3,10,4,3,6,20,12,3,9,14
GENE00080,31,17,31,21,26,42,17,16,14,33,8,28
GENE00081,11,16,30,17,16,26,21,11,23,14,16,19
GENE00082,8,15,39,10,15,30,10,15,48,21,19,21
GENE00083,1334,1193,1021,1050,573,1613,1769,1423,2390,1696,738,592
GENE00084,260,119,313,280,191,94,130,140,137,116,262,202
GENE00085,558,542,201,460,707,747,734,355,501,491,336,1029
GENE00086,3055,2758,1061,1492,1434,1216,1350,1176,1214,1956,2997,1484
GENE00087,4,10,9,3,2,5,27,21,22,30,21,16
GENE00088,580,377,945,620,1072,1060,501,396,957,782,640,259
GENE00089,81,116,49,31,59,124,43,67,38,76,39,81
GENE00090,73,38,40,89,49,67,44,62,69,27,96,67
GENE00091,15,28,14,10,31,17,17,26,13,16,10,14
GENE00092,17,15,17,13,4,21,27,21,10,19,21,19
GENE00093,50,38,27,28,36,18,46,16,31,11,41,36
GENE00094,14,32,67,39,39,27,13,31,17,24,8,18
GENE00095,1119,1197,1087,926,751,1528,1353,591,1306,805,738,823
GENE00096,455,313,934,597,754,1084,436,1014,837,577,1534,1851
GENE00097,90,74,28,77,80,56,17,19,17,21,24,30
GENE00098,170,143,399,143,139,108,318,277,111,272,222,311
GENE00099,275,308,193,294,482,351,434,675,1023,1707,468,1363
GENE00100,65,28,120,68,60,82,62,28,105,40,86,51
GENE00101,177,370,284,306,284,134,238,346,278,268,342,207
GENE00102,1072,579,2595,659,1569,1125,1051,1210,720,1753,841,916
GENE00103,108,94,81,66,101,47,183,226,145,446,147,134
GENE00104,1519,1199,804,976,1781,908,1982,1889,719,2992,1198,1815
GENE00105,3295,3344,2089,2945,1673,3060,1702,2821,3075,1421,3015,1987
GENE00106,12,16,33,24,22,28,22,31,37,15,17,46
GENE00107,1122,2153,2505,3697,2872,3522,1615,1172,3097,1773,2396,1811
GENE00108,14,8,13,11,11,12,16,11,11,6,15,11
GENE00109,36,55,19,20,41,47,71,29,66,90,80,66
GENE00110,121,287,312,234,142,78,239,147,146,157,136,249
GENE00111,71,63,71,160,52,71,80,87,127,91,142,78
GENE00112,416,408,862,378,386,278,339,615,666,658,246,827
GENE00113,87,80,55,50,116,67,93,63,31,39,48,60
GENE00114,1,2,9,7,5,9,20,29,10,5,20,13
GENE00115,46,97,136,193,217,133,99,39,69,113,69,68
GENE00116,341,580,447,438,483,584,413,471,443,707,711,759
GENE00117,5,7,5,13,16,13,9,7,12,10,11,6
GENE00118,139,89,140,231,53,120,199,120,92,71,111,60
GENE00119,101,78,128,70,73,125,154,72,155,55,104,118
GENE00120,80,101,75,106,51,50,54,86,154,98,120,71
GENE00121,25,13,16,22,16,14,29,20,31,10,23,23
GENE00122,652,835,237,627,350,1045,356,362,317,431,348,801
GENE00123,3,1,3,5,12,3,4,7,1,11,8,8
GENE00124,11,47,9,13,18,29,29,26,9,28,8,22
GENE00125,165,155,72,121,103,115,153,39,73,180,160,138
GENE00126,6,3,3,2,1,9,8,9,1,2,5,12
GENE00127,1743,1733,540,1767,1850,1370,1007,999,1311,985,954,1649
GENE00128,4,10,7,6,20,19,28,13,27,10,13,11
GENE00129,6,3,11,6,1,6,3,8,8,9,12,7
GENE00130,708,429,314,1310,669,834,742,536,586,587,714,727
GENE00131,368,509,438,590,568,656,638,625,515,593,155,828
GENE00132,39,44,51,51,40,27,55,22,42,50,76,33
GENE00133,16,33,55,67,35,68,88,101,45,35,74,41
GENE00134,23,12,5,7,30,26,5,12,22,15,13,24
GENE00135,18,7,6,9,7,8,6,7,13,12,5,11
GENE00136,196,407,380,542,446,399,501,401,363,302,524,432
GENE00137,193,194,313,372,318,136,490,297,122,325,145,258
GENE00138,8,3,2,3,5,9,9,8,14,14,4,5
GENE00139,582,1543,783,1430,1486,787,701,757,1176,1132,908,969
GENE00140,129,71,150,350,126,79,105,166,115,103,75,127
GENE00141,179,183,221,408,388,142,306,178,273,267,264,178
GENE00142,1097,666,879,1317,1408,483,1151,231,597,1402,1966,1428
GENE00143,2177,1386,1414,2191,1056,2068,1327,1836,1261,2158,2660,1642
GENE00144,244,351,305,397,90,293,130,233,232,410,245,143
GENE00145,430,446,209,237,330,258,226,390,196,244,214,179
GENE00146,7,8,6,3,6,12,6,4,10,7,8,3
GENE00147,1099,713,343,365,1407,738,441,872,617,289,721,601
GENE00148,26,6,4,26,32,19,32,15,11,21,26,12
GENE00149,4,6,16,15,35,11,7,12,8,4,9,17
GENE00150,6,6,7,5,10,6,7,6,3,3,7,7
GENE00151,12,31,13,15,16,11,25,31,17,13,51,35
GENE00152,196,298,153,380,220,307,215,181,233,178,244,337
GENE00153,25,25,11,16,10,8,16,44,26,16,13,15
GENE00154,85,138,106,147,196,169,246,79,292,169,125,210
GENE00155,2,5,5,14,3,6,15,16,6,9,6,17
GENE00156,126,90,89,203,93,60,174,89,214,169,122,88
GENE00157,3,3,2,8,2,8,8,2,5,6,7,1
GENE00158,5,7,13,5,4,9,5,7,9,11,9,5
GENE00159,60,75,96,99,81,66,66,98,48,34,90,112
GENE00160,200,310,415,200,182,224,859,1348,963,1146,1357,1093
GENE00161,1040,1725,1564,2255,2904,2700,3162,2861,5365,5558,3775,5887
GENE00162,281,142,151,145,124,203,276,77,179,172,196,74
GENE00163,25,46,31,24,41,34,82,11,23,52,29,55
GENE00164,975,989,1704,1381,2473,1651,2479,1830,1079,1152,1132,1131
GENE00165,174,145,158,76,141,74,74,36,110,98,19,72
GENE00166,1530,764,1585,1434,1705,1611,1050,2049,2082,893,1632,3315
GENE00167,168,192,153,134,201,120,139,70,90,161,83,104
GENE00168,673,725,779,535,1063,536,1409,586,907,760,1487,749
GENE00169,40,9,33,38,14,28,36,24,33,41,12,38
GENE00170,228,242,238,219,340,654,769,576,1380,864,832,958
GENE00171,122,66,176,100,49,87,83,65,86,65,84,107
GENE00172,1478,2806,1080,1843,868,935,1564,673,1695,958,1597,1670
GENE00173,226,163,345,452,532,242,511,226,212,318,254,264
GENE00174,4,8,6,1,8,8,10,1,4,2,3,3
GENE00175,28,17,18,17,32,25,32,22,34,19,26,26
GENE00176,142,248,264,170,153,143,98,81,73,52,59,101
GENE00177,6,5,2,8,6,5,8,5,9,9,6,4
GENE00178,235,186,111,107,186,99,197,168,221,148,234,234
GENE00179,37,37,28,37,26,59,38,21,65,79,66,57
GENE00180,378,407,490,317,288,412,162,613,173,201,333,200
GENE00181,21,8,13,23,21,7,7,13,14,17,8,13
GENE00182,1733,1880,451,1674,1903,1295,798,991,1630,923,1484,890
GENE00183,141,272,163,153,147,111,194,76,88,197,98,52
GENE00184,22,16,15,9,7,24,18,18,20,10,15,15
GENE00185,14,22,15,13,14,22,21,17,23,5,15,10
GENE00186,34,18,23,41,32,12,59,28,20,42,15,21
GENE00187,203,191,194,266,121,147,121,169,143,252,129,135
GENE00188,696,1679,789,1273,978,766,814,1591,369,516,1072,492
GENE00189,112,209,254,253,176,349,238,221,218,201,215,54
GENE00190,17,19,20,14,7,15,18,19,29,20,11,40
GENE00191,404,426,226,317,153,159,521,203,349,204,374,392
GENE00192,317,258,548,1284,427,620,627,1202,237,1095,516,339
GENE00193,477,888,407,484,743,447,1096,197,714,718,964,651
GENE00194,15,11,26,25,23,14,32,23,11,18,14,12
GENE00195,16,20,24,29,13,26,33,41,12,24,15,37
GENE00196,699,590,394,887,234,1053,592,622,757,351,612,685
GENE00197,19,53,77,61,93,68,54,74,62,62,65,137
GENE00198,1160,639,417,374,726,1206,471,975,739,667,647,839
GENE00199,29,24,18,43,29,22,36,17,21,29,14,30
GENE00200,1862,1091,1384,2116,2210,2167,5606,4036,5219,6239,5743,5379
GENE00201,235,260,457,395,536,137,290,493,230,212,211,244
GENE00202,6,4,9,12,5,5,14,5,6,4,3,0
GENE00203,9,7,20,15,30,15,7,7,13,7,15,11
GENE00204,215,305,266,588,331,214,617,427,300,407,409,321
GENE00205,35,55,28,29,12,45,52,68,33,30,40,29
GENE00206,1759,1719,2736,2749,1310,1796,2604,1904,2412,1958,2593,2246
GENE00207,1442,2228,2143,1743,1630,1204,889,2015,1405,1239,1289,1304
GENE00208,156,133,59,57,193,161,218,121,121,187,180,413
GENE00209,42,39,46,74,64,65,27,20,9,18,22,37
GENE00210,40,129,36,177,68,98,69,72,39,96,47,70
GENE00211,28,14,25,7,21,16,37,12,32,23,20,38
GENE00212,3,4,3,6,12,6,3,7,9,5,7,6
GENE00213,303,55,177,291,252,334,99,452,209,208,332,266
GENE00214,10,11,19,6,13,14,16,21,12,19,12,31
GENE00215,15,3,3,3,5,6,4,15,3,4,10,8
GENE00216,335,332,221,508,355,389,464,554,454,144,458,389
GENE00217,79,42,43,58,126,61,60,91,55,42,23,25
GENE00218,1116,1051,1834,1026,2002,1569,1289,1328,946,977,955,2532
GENE00219,95,117,43,94,103,131,57,64,173,66,161,72
GENE00220,306,271,537,287,340,436,337,327,87,505,388,175
GENE00221,13,8,20,15,6,19,8,3,6,11,2,18
GENE00222,464,1084,397,582,745,787,2269,1308,1782,1629,2381,1087
GENE00223,174,230,343,303,157,115,202,168,243,309,129,207
GENE00224,86,17,41,26,19,33,38,38,49,43,87,42
GENE00225,185,216,251,176,254,178,99,197,186,326,103,132
GENE00226,46,69,73,61,56,57,49,52,42,67,33,29
GENE00227,1608,1562,1530,1453,454,2070,1784,1830,564,1255,1108,548
GENE00228,9,7,11,4,11,7,14,3,4,10,8,6
GENE00229,648,1582,1321,669,1724,1736,729,705,981,524,410,1410
GENE00230,35,67,59,70,48,41,42,77,51,167,35,26
GENE00231,576,896,598,286,553,688,2184,1833,2910,2396,3342,1210
GENE00232,176,206,299,291,99,81,248,120,224,112,222,175
GENE00233,637,605,372,916,413,358,672,554,637,1051,782,484
GENE00234,196,60,191,282,134,199,137,316,213,456,173,303
GENE00235,461,1245,963,444,825,434,200,168,136,407,125,348
GENE00236,4,7,5,5,16,14,7,4,3,7,7,8
GENE00237,11,2,14,8,9,10,3,11,4,10,3,8
GENE00238,103,30,125,130,62,48,50,84,36,93,73,72
GENE00239,9,10,15,12,5,9,12,9,16,17,13,7
GENE00240,208,245,331,124,121,314,257,174,118,114,219,122
GENE00241,1059,452,700,420,1354,727,323,235,287,223,82,234
GENE00242,40,16,38,24,44,39,47,67,40,18,51,78
GENE00243,321,159,390,140,201,178,633,1256,814,578,1886,640
GENE00244,313,400,546,452,556,594,442,491,690,950,377,319
GENE00245,33,25,32,38,49,35,26,55,27,38,29,35
GENE00246,53,33,74,83,28,44,59,76,25,66,83,54
GENE00247,18,14,19,23,16,25,12,19,16,15,13,23
GENE00248,5,6,6,13,5,5,6,9,5,6,16,5
GENE00249,54,67,84,95,66,35,100,63,59,83,53,62
GENE00250,18,34,18,34,24,12,3,3,4,9,4,13
GENE00251,275,159,261,204,208,129,191,135,137,272,262,339
GENE00252,9,36,11,22,19,19,14,10,23,29,12,13
GENE00253,155,111,75,106,200,132,203,83,174,93,134,352
GENE00254,361,572,337,254,173,236,289,282,533,363,339,260
GENE00255,8,8,11,18,6,20,32,12,13,21,15,22
GENE00256,280,268,103,333,282,320,254,261,270,202,244,334
GENE00257,79,88,22,91,80,18,55,108,79,48,76,52
GENE00258,17,7,26,12,30,11,15,7,7,8,11,12
GENE00259,1710,1204,1229,1291,1581,751,1200,1268,1073,1933,636,756
GENE00260,16,19,17,14,13,21,12,17,13,9,12,14
GENE00261,68,41,58,43,40,64,27,33,18,72,47,62
GENE00262,139,104,169,207,174,218,390,376,110,283,164,188
GENE00263,167,69,125,55,47,50,124,88,127,114,92,82
GENE00264,88,64,76,31,79,57,55,43,13,60,24,64
GENE00265,1301,755,516,391,1291,900,2467,2954,2493,5369,6155,2257
GENE00266,1,6,11,10,2,5,7,6,6,2,3,5
GENE00267,846,809,529,905,585,1550,1084,1166,641,870,462,1034
GENE00268,10,6,7,20,11,8,14,4,6,13,7,9
GENE00269,28,11,4,12,11,8,16,14,1,8,18,12
GENE00270,327,156,1103,375,456,614,659,404,425,506,456,801
GENE00271,827,1966,2300,2636,938,2060,1562,1444,2619,2372,1069,2250
GENE00272,278,364,283,548,852,426,1120,1857,1505,1597,1088,1440
GENE00273,480,483,839,633,776,556,650,829,1024,926,608,455
GENE00274,71,53,75,48,36,106,113,48,87,27,48,48
GENE00275,34,54,112,57,45,13,56,64,31,32,16,24
GENE00276,225,254,363,475,269,222,242,431,358,394,224,252
GENE00277,717,1291,815,1548,1460,500,1078,459,1432,426,1298,512
GENE00278,11,13,7,20,14,23,12,11,11,12,13,12
GENE00279,313,744,705,819,848,488,349,897,316,326,474,873
GENE00280,52,45,101,32,73,70,44,77,80,65,27,85
GENE00281,140,99,81,88,73,95,107,128,94,91,35,112
GENE00282,304,317,213,237,191,82,81,91,68,89,87,68
GENE00283,20,40,23,26,28,17,30,47,45,24,55,28
GENE00284,8,4,3,8,9,4,1,13,1,11,9,6
GENE00285,42,30,11,23,12,18,26,27,26,19,25,20
GENE00286,80,48,93,48,49,33,63,101,58,54,42,48
GENE00287,1,4,3,5,4,4,6,6,7,12,8,9
GENE00288,253,511,190,456,228,263,260,273,433,207,264,268
GENE00289,21,12,20,21,22,17,10,9,15,24,30,25
GENE00290,20,28,36,32,25,23,14,30,7,33,30,16
GENE00291,30,31,23,44,5,7,43,29,18,40,22,23
GENE00292,1656,1043,972,1472,783,1573,808,827,1912,2907,1050,1225
GENE00293,787,550,372,914,815,546,789,612,688,527,1266,556
GENE00294,79,255,421,95,221,139,130,163,260,165,146,121
GENE00295,152,146,160,247,213,146,130,246,162,271,148,137
GENE00296,8,15,16,8,19,7,12,9,6,10,8,7
GENE00297,71,194,158,132,89,221,52,86,119,224,165,78
GENE00298,39,14,20,22,13,28,8,20,23,23,9,44
GENE00299,1521,1389,734,518,339,384,1762,1597,1343,703,812,609
GENE00300,291,387,245,238,278,363,244,114,165,210,579,222
GENE00301,1071,528,873,860,955,881,208,208,284,139,184,330
GENE00302,1129,1798,1205,1866,2266,750,2479,1502,2812,1403,825,2018
GENE00303,984,2172,996,1916,980,1417,1403,2597,1421,1361,1000,1467
GENE00304,6,11,8,9,5,11,10,17,7,20,4,4
GENE00305,140,204,127,315,241,310,253,252,237,321,115,168
GENE00306,49,59,35,28,39,84,16,67,86,57,35,26
GENE00307,703,647,687,427,593,379,1212,1411,1362,1283,1616,2149
GENE00308,68,86,36,111,131,134,82,99,209,96,79,70
GENE00309,173,318,290,131,376,249,370,327,396,315,328,398
GENE00310,1828,937,955,1721,1246,1163,232,333,349,521,396,236
GENE00311,17,23,19,14,16,15,7,11,6,13,16,8
GENE00312,389,212,353,416,182,220,305,348,211,149,292,296
GENE00313,335,158,150,140,409,323,248,112,314,227,145,128
GENE00314,11,7,23,14,11,14,5,12,11,5,11,12
GENE00315,62,99,84,91,179,61,95,185,142,130,120,94
GENE00316,32,43,19,65,46,34,28,24,21,40,19,40
GENE00317,286,184,190,103,124,199,635,660,732,1408,1013,702
GENE00318,52,61,90,114,53,41,90,30,35,48,47,22
GENE00319,1123,917,837,877,790,709,1536,234,1941,468,1080,589
GENE00320,859,1446,1610,2247,1662,1803,558,1152,575,504,568,495
GENE00321,11,3,5,8,14,15,19,1,11,15,24,5
GENE00322,16,40,11,26,84,12,16,32,44,33,26,15
GENE00323,208,1064,901,524,449,478,721,273,620,521,508,661
GENE00324,1067,584,951,931,703,550,625,589,1331,789,1185,384
GENE00325,15,29,51,61,46,31,31,19,19,40,18,55
GENE00326,256,125,243,150,99,189,104,216,83,151,140,231
GENE00327,255,228,484,190,202,177,200,118,273,194,394,225
GENE00328,640,770,1418,676,459,915,815,863,759,350,446,569
GENE00329,20,22,57,60,60,20,54,37,45,37,51,132
GENE00330,11,12,9,5,11,12,11,22,11,8,14,13
GENE00331,111,69,76,59,66,99,91,131,76,44,120,87
GENE00332,300,324,418,202,200,370,239,189,242,422,335,283
GENE00333,9,4,10,15,3,5,3,6,8,3,4,3
GENE00334,329,260,249,150,159,207,90,106,124,139,180,259
GENE00335,910,627,323,311,841,620,767,536,759,535,492,652
GENE00336,17,17,18,15,20,8,8,10,27,7,11,19
GENE00337,177,235,378,583,466,531,266,357,261,902,414,694
GENE00338,756,404,443,305,637,376,436,483,358,350,675,682
GENE00339,145,53,49,74,29,62,52,122,137,44,62,40
GENE00340,88,214,135,168,180,49,141,130,158,64,208,76
GENE00341,219,217,172,318,314,101,193,188,316,198,175,204
GENE00342,134,64,102,71,88,54,120,82,55,65,222,154
GENE00343,52,52,51,82,81,61,57,39,61,81,95,82
GENE00344,13,49,66,32,47,37,60,25,102,165,70,68
GENE00345,5,8,6,7,4,17,5,10,3,5,13,10
GENE00346,7,4,10,10,5,1,6,2,5,4,4,7
GENE00347,146,266,143,106,132,70,23,25,46,22,32,41
GENE00348,63,30,32,70,35,53,26,49,39,30,21,48
GENE00349,7,27,9,21,29,17,12,14,24,40,7,4
GENE00350,54,29,51,62,48,92,65,138,164,57,49,45
GENE00351,99,61,78,116,109,70,80,40,51,106,86,102
GENE00352,212,290,391,327,220,208,23,76,66,131,106,85
GENE00353,18,34,39,30,47,29,52,43,40,42,22,23
GENE00354,124,97,101,120,96,144,150,98,75,37,151,80
GENE00355,333,479,372,616,1046,515,597,488,369,1122,455,575
GENE00356,518,288,931,1323,1301,886,733,1073,952,978,498,1786
GENE00357,121,79,154,270,251,132,63,138,137,137,247,91
GENE00358,3,2,3,3,6,1,4,3,4,6,2,9
GENE00359,3,9,11,14,3,7,19,8,4,10,4,13
GENE00360,426,196,266,226,199,241,284,333,349,239,222,358
GENE00361,25,6,8,15,12,8,4,11,1,7,8,6
GENE00362,1,8,7,14,10,12,33,44,38,25,22,54
GENE00363,11,8,6,11,4,3,10,15,11,9,3,8
GENE00364,61,53,35,51,25,18,19,32,17,73,26,42
GENE00365,371,349,370,426,215,314,129,91,109,128,72,67
GENE00366,1271,2259,2312,1045,1809,2052,2688,2883,4526,3001,6308,7588
GENE00367,763,912,698,331,412,621,569,969,641,695,1035,330
GENE00368,299,492,358,414,654,288,257,226,197,397,428,498
GENE00369,7,20,3,20,6,3,10,4,13,3,6,10
GENE00370,97,152,226,100,143,133,152,281,125,196,63,110
GENE00371,355,962,615,677,166,376,571,379,837,698,680,946
GENE00372,1812,2080,590,453,768,935,1072,1505,904,1148,1128,982
GENE00373,7,15,4,5,8,10,7,6,11,15,6,8
GENE00374,37,53,52,16,35,38,32,39,49,24,31,42
GENE00375,57,31,32,24,50,27,18,12,39,25,13,23
GENE00376,22,36,36,31,36,40,16,55,12,21,22,28
GENE00377,56,46,87,45,55,92,46,107,60,92,71,30
GENE00378,36,18,43,17,64,59,13,48,35,39,39,46
GENE00379,37,61,70,42,43,91,101,65,167,113,217,106
GENE00380,56,40,58,22,52,30,29,27,35,24,38,21
GENE00381,293,274,343,363,436,264,404,443,466,297,313,335
GENE00382,3,5,5,10,0,8,3,10,21,7,5,6
GENE00383,449,246,525,367,329,410,324,255,289,408,351,405
GENE00384,438,554,633,569,340,1207,256,457,514,443,419,237
GENE00385,12,32,31,19,12,11,15,12,12,21,30,20
GENE00386,599,807,278,817,597,503,277,138,244,271,118,140
GENE00387,375,561,396,248,508,381,433,300,447,252,113,650
GENE00388,112,101,114,218,81,145,486,231,326,407,277,632
GENE00389,2776,1044,1843,2561,1562,1695,1322,2234,1581,1925,1734,1865
GENE00390,650,409,406,271,460,712,520,262,462,306,265,383
GENE00391,6,12,2,4,12,9,10,9,7,4,3,13
GENE00392,1,8,1,5,13,4,4,7,9,3,2,10
GENE00393,93,68,96,109,107,51,59,46,41,84,132,86
GENE00394,96,39,65,106,62,50,75,68,98,62,40,73
GENE00395,69,113,63,64,45,33,80,17,71,59,65,37
GENE00396,67,54,58,38,50,48,46,35,34,43,44,48
GENE00397,57,52,54,128,54,89,72,51,31,74,75,59
GENE00398,7,4,2,5,6,8,5,7,3,0,4,6
GENE00399,447,567,259,759,175,624,473,615,212,1034,275,614
GENE00400,315,316,620,320,460,445,262,134,650,524,594,438
GENE00401,496,526,373,319,326,508,447,422,383,666,831,398
GENE00402,27,35,40,61,28,49,6,48,56,72,70,65
GENE00403,42,68,23,62,18,35,97,39,38,62,60,29
GENE00404,1376,1148,794,783,727,1009,657,1514,668,949,917,1471
GENE00405,237,344,105,352,111,185,261,110,133,159,197,346
GENE00406,673,854,1383,401,652,571,593,831,471,611,174,330
GENE00407,1056,1286,1257,1735,626,641,1771,1435,964,1489,807,1479
GENE00408,259,508,394,648,339,390,289,180,223,240,319,259
GENE00409,1231,2293,1484,647,1069,2112,1821,1305,1696,1236,1180,2996
GENE00410,1876,766,2481,2189,1580,829,899,717,541,1336,921,822
GENE00411,1081,683,851,1216,1859,2468,3207,1351,2031,1320,1632,1329
GENE00412,1469,638,1020,1192,1495,890,1159,1383,1091,1083,2005,693
GENE00413,22,90,41,41,41,14,84,51,69,88,106,174
GENE00414,172,227,154,113,91,122,48,38,77,75,22,53
GENE00415,193,234,168,216,209,220,210,192,96,260,304,247
GENE00416,661,653,171,1788,982,725,810,531,556,1856,1850,561
GENE00417,884,360,431,729,1428,955,477,108,353,342,357,527
GENE00418,60,67,139,63,63,49,67,72,54,82,85,120
GENE00419,33,26,37,41,30,35,26,7,38,50,28,58
GENE00420,111,92,53,91,141,95,62,61,89,17,94,102
GENE00421,19,23,59,22,21,35,42,32,19,8,22,14
GENE00422,11,14,21,6,5,11,4,9,10,7,11,6
GENE00423,49,24,43,79,90,49,27,37,30,60,41,41
GENE00424,9,4,4,3,6,23,0,3,2,2,5,4
GENE00425,1683,2127,3299,2676,1357,826,1174,3197,1902,2306,2197,1787
GENE00426,70,71,31,95,55,62,100,56,63,61,70,47
GENE00427,63,36,89,34,49,58,55,85,42,26,58,64
GENE00428,1537,893,869,1564,1293,1100,843,2680,1139,1513,1861,2260
GENE00429,302,162,213,740,235,428,1306,2141,737,698,1428,456
GENE00430,234,301,65,225,254,89,45,148,139,121,123,160
GENE00431,905,896,1353,1075,261,450,1443,889,518,420,658,854
GENE00432,31,11,27,34,42,46,49,53,28,53,49,21
GENE00433,1043,566,430,651,712,925,758,336,1299,1104,1220,549
GENE00434,221,249,280,369,435,95,616,876,788,566,542,1186
GENE00435,9,8,12,12,11,8,19,11,8,9,12,10
GENE00436,51,31,87,59,82,68,75,72,73,55,45,10
GENE00437,240,364,464,316,254,82,90,158,182,258,326,442
GENE00438,27,24,16,29,11,9,18,32,22,26,20,13
GENE00439,240,489,339,248,275,556,181,194,267,272,333,434
GENE00440,756,1487,988,685,1355,1804,1807,872,1237,1014,1104,957
